Room_type;person_n;bedroom_n;bed_n;Price
Entire home/apt;2;1;3;$80,00 
Entire home/apt;4;1;4;$181,00 
Entire home/apt;4;1;2;$80,00 
Entire home/apt;4;2;2;$250,00 
Entire home/apt;2;1;1;$99,00 
Entire home/apt;4;3;4;$200,00 
Entire home/apt;5;3;4;$345,00 
Entire home/apt;2;1;1;$99,00 
Private room;2;1;1;$78,00 
Private room;2;1;1;$65,00 
Entire home/apt;4;2;3;$241,00 
Private room;4;1;2;$57,00 
Entire home/apt;4;3;5;$380,00 
Entire home/apt;6;5;6;$795,00 
Private room;4;;2;$100,00 
Entire home/apt;2;1;1;$137,00 
Entire home/apt;4;1;2;$150,00 
Entire home/apt;2;1;1;$200,00 
Entire home/apt;2;1;1;$110,00 
Private room;2;1;1;$90,00 
Entire home/apt;4;2;2;$150,00 
Private room;2;1;1;$83,00 
Entire home/apt;2;1;1;$120,00 
Entire home/apt;4;2;2;$145,00 
Entire home/apt;4;2;2;$150,00 
Entire home/apt;2;1;1;$90,00 
Entire home/apt;4;2;2;$300,00 
Entire home/apt;4;4;5;$150,00 
Entire home/apt;4;3;3;$245,00 
Private room;2;1;1;$89,00 
Entire home/apt;2;1;1;$80,00 
Entire home/apt;2;1;1;$300,00 
Entire home/apt;4;2;2;$250,00 
Entire home/apt;2;1;1;$199,00 
Entire home/apt;4;3;4;$200,00 
Private room;2;1;1;$51,00 
Entire home/apt;2;1;2;$90,00 
Entire home/apt;4;1;2;$115,00 
Entire home/apt;4;2;3;$186,00 
Private room;2;1;2;$59,00 
Entire home/apt;4;3;4;$200,00 
Entire home/apt;2;1;1;$110,00 
Entire home/apt;2;1;1;$225,00 
Entire home/apt;2;1;1;$95,00 
Entire home/apt;4;2;5;$200,00 
Entire home/apt;4;2;4;$250,00 
Entire home/apt;2;1;1;$245,00 
Entire home/apt;3;1;1;$381,00 
Entire home/apt;4;2;3;$107,00 
Entire home/apt;6;3;4;$250,00 
Private room;2;1;1;$110,00 
Entire home/apt;4;2;3;$130,00 
Entire home/apt;3;3;7;$146,00 
Private room;2;1;1;$75,00 
Entire home/apt;4;2;4;$149,00 
Entire home/apt;2;1;1;$165,00 
Entire home/apt;4;2;4;$307,00 
Entire home/apt;2;1;1;$184,00 
Entire home/apt;2;1;1;$101,00 
Entire home/apt;4;5;5;$275,00 
Entire home/apt;4;2;4;$115,00 
Private room;2;1;1;$99,00 
Private room;2;1;1;$103,00 
Private room;2;1;1;$65,00 
Entire home/apt;4;5;5;$255,00 
Private room;2;1;1;$55,00 
Private room;2;1;1;$55,00 
Entire home/apt;2;1;1;$279,00 
Private room;2;1;1;$80,00 
Entire home/apt;4;2;5;$338,00 
Entire home/apt;4;2;2;$250,00 
Private room;2;1;1;$75,00 
Entire home/apt;2;1;1;$130,00 
Entire home/apt;2;1;2;$99,00 
Private room;3;;2;$90,00 
Entire home/apt;4;2;2;$125,00 
Entire home/apt;4;2;3;$275,00 
Entire home/apt;2;2;1;$222,00 
Entire home/apt;4;2;2;$180,00 
