bedrooms,beds,Price,n_person
1.0,1.0,99.0,2
3.0,4.0,200.0,4
3.0,4.0,345.0,5
1.0,1.0,99.0,2
1.0,1.0,78.0,2
1.0,1.0,65.0,2
2.0,3.0,241.0,4
1.0,2.0,57.0,4
3.0,5.0,380.0,4
5.0,6.0,795.0,6
,2.0,100.0,4
1.0,1.0,137.0,2
1.0,2.0,150.0,4
1.0,1.0,200.0,2
1.0,1.0,110.0,2
1.0,1.0,90.0,2
2.0,2.0,150.0,4
1.0,1.0,83.0,2
1.0,1.0,120.0,2
2.0,2.0,145.0,4
2.0,2.0,150.0,4
1.0,1.0,90.0,2
2.0,2.0,300.0,4
4.0,5.0,150.0,4
3.0,3.0,245.0,4
1.0,1.0,89.0,2
1.0,1.0,80.0,2
1.0,1.0,300.0,2
2.0,2.0,250.0,4
1.0,1.0,199.0,2
3.0,4.0,200.0,4
1.0,1.0,51.0,2
1.0,2.0,90.0,2
1.0,2.0,115.0,4
2.0,3.0,186.0,4
1.0,2.0,59.0,2
3.0,4.0,200.0,4
1.0,1.0,110.0,2
1.0,1.0,225.0,2
1.0,1.0,95.0,2
2.0,5.0,200.0,4
2.0,4.0,250.0,4
1.0,1.0,245.0,2
1.0,1.0,381.0,3
2.0,3.0,107.0,4
3.0,4.0,250.0,6
1.0,1.0,110.0,2
2.0,3.0,130.0,4
3.0,7.0,146.0,3
1.0,1.0,75.0,2
2.0,4.0,149.0,4
1.0,1.0,165.0,2
2.0,4.0,307.0,4
1.0,1.0,184.0,2
1.0,1.0,101.0,2
5.0,5.0,275.0,4
2.0,4.0,115.0,4
1.0,1.0,99.0,2
1.0,1.0,103.0,2
1.0,1.0,65.0,2
5.0,5.0,255.0,4
1.0,1.0,55.0,2
1.0,1.0,55.0,2
1.0,1.0,279.0,2
1.0,1.0,80.0,2
2.0,5.0,338.0,4
2.0,2.0,250.0,4
1.0,1.0,75.0,2
1.0,1.0,130.0,2
1.0,2.0,99.0,2
,2.0,90.0,3
2.0,2.0,125.0,4
2.0,3.0,275.0,4
2.0,1.0,222.0,2
2.0,2.0,180.0,4
2.0,2.0,120.0,2
3.0,3.0,325.0,4
2.0,2.0,85.0,4
1.0,1.0,130.0,2
2.0,2.0,350.0,4
6.0,12.0,409.0,12
1.0,1.0,105.0,2
1.0,2.0,140.0,4
1.0,2.0,199.0,2
1.0,1.0,65.0,2
1.0,1.0,85.0,2
1.0,1.0,110.0,2
3.0,3.0,495.0,4
1.0,2.0,103.0,3
2.0,1.0,106.0,2
1.0,2.0,100.0,3
2.0,2.0,414.0,4
1.0,1.0,136.0,2
3.0,3.0,175.0,6
1.0,1.0,153.0,2
1.0,2.0,240.0,4
1.0,1.0,80.0,2
1.0,1.0,82.0,1
1.0,4.0,115.0,4
,1.0,81.0,2
2.0,2.0,157.0,4
1.0,1.0,199.0,3
1.0,1.0,109.0,2
1.0,1.0,268.0,2
1.0,1.0,96.0,2
1.0,1.0,150.0,2
1.0,1.0,328.0,2
1.0,1.0,55.0,2
1.0,1.0,74.0,2
1.0,1.0,131.0,2
1.0,1.0,140.0,2
1.0,1.0,128.0,2
4.0,2.0,246.0,4
